USER_ID,MERCHANT_ID,Transactions
101,201,0
101,202,0.666666667
101,203,0.333333333
102,204,0.023809524
102,205,0.023809524
102,206,0.023809524
102,207,0.095238095
102,208,0.023809524
102,209,0.023809524
102,210,0.023809524
102,211,0.023809524
102,212,0.476190476
102,213,0.023809524
102,214,0.023809524
102,215,0.119047619
102,216,0.047619048
102,217,0.023809524
102,218,0.023809524
103,219,0.017699115
103,220,0.017699115
103,203,0.017699115
103,221,0.008849558
103,222,0.008849558
103,223,0.008849558
103,224,0.008849558
103,225,0.008849558
103,226,0.008849558
103,227,0.185840708
103,228,0.026548673
103,229,0.380530973
103,230,0.008849558
103,231,0.203539823
103,232,0.008849558
103,233,0.044247788
103,234,0.03539823
104,219,0.12
104,220,0.04
104,235,0.08
104,236,0.12
104,237,0.04
104,238,0.08
104,209,0.16
104,211,0.04
104,239,0.04
104,240,0.08
104,215,0.08
104,217,0.04
104,233,0.08
105,241,0.102040816
105,203,0.040816327
105,242,0.040816327
105,237,0.020408163
105,225,0.040816327
105,243,0.020408163
105,210,0.306122449
105,244,0.102040816
105,245,0.020408163
105,246,0.020408163
105,229,0.102040816
105,247,0.020408163
105,248,0.12244898
105,249,0.020408163
105,250,0.020408163
106,212,1
107,251,0.2
107,252,0.033333333
107,212,0.4
107,240,0.133333333
107,253,0.033333333
107,246,0.033333333
107,229,0.033333333
107,254,0.133333333
108,242,0.071428571
108,215,0.071428571
108,255,0.071428571
108,218,0.785714286
109,239,0.0625
109,256,0.0625
109,212,0.1875
109,257,0.1875
109,258,0.4375
109,259,0.0625
110,241,0.030612245
110,219,0.020408163
110,205,0.010204082
110,260,0.010204082
110,222,0.010204082
110,209,0.183673469
110,210,0.030612245
110,211,0.081632653
110,239,0.010204082
110,261,0.010204082
110,227,0.020408163
110,212,0.010204082
110,213,0.051020408
110,240,0.265306122
110,262,0.010204082
110,215,0.020408163
110,229,0.06122449
110,263,0.010204082
110,264,0.030612245
110,265,0.010204082
110,217,0.091836735
110,266,0.010204082
110,267,0.010204082
111,220,0.023255814
111,268,0.034883721
111,236,0.023255814
111,221,0.011627907
111,269,0.104651163
111,211,0.279069767
111,270,0.348837209
111,213,0.023255814
111,240,0.011627907
111,215,0.046511628
111,255,0.034883721
111,271,0.046511628
111,231,0.011627907
112,219,0.04
112,202,0.04
112,223,0.08
112,224,0.08
112,209,0.04
112,239,0.16
112,272,0.08
112,273,0.36
112,254,0.12
113,219,0.130434783
113,220,0.086956522
113,274,0.086956522
113,275,0.043478261
113,276,0.130434783
113,277,0.130434783
113,212,0.173913043
113,257,0.043478261
113,229,0.130434783
113,278,0.043478261
114,212,0.608695652
114,240,0.391304348
115,279,0.179487179
115,204,0.076923077
115,236,0.051282051
115,207,0.076923077
115,280,0.051282051
115,281,0.025641026
115,282,0.051282051
115,214,0.025641026
115,240,0.051282051
115,215,0.025641026
115,255,0.102564103
115,283,0.230769231
115,229,0.025641026
115,254,0.025641026
116,219,0.782608696
116,205,0.043478261
116,221,0.043478261
116,209,0.043478261
116,212,0.043478261
116,229,0.043478261
117,236,0.111111111
117,207,0.222222222
117,210,0.222222222
117,216,0.333333333
117,218,0.111111111
118,276,0.5
118,229,0.5
119,241,0.006410256
119,251,0.006410256
119,279,0.086538462
119,219,0.012820513
119,220,0.118589744
119,284,0.006410256
119,205,0.006410256
119,203,0.003205128
119,236,0.006410256
119,285,0.006410256
119,242,0.009615385
119,207,0.022435897
119,221,0.003205128
119,222,0.003205128
119,223,0.006410256
119,269,0.006410256
119,224,0.003205128
119,209,0.012820513
119,243,0.051282051
119,210,0.003205128
119,276,0.003205128
119,211,0.006410256
119,286,0.003205128
119,287,0.009615385
119,288,0.009615385
119,277,0.003205128
119,227,0.03525641
119,212,0.102564103
119,213,0.051282051
119,257,0.003205128
119,240,0.019230769
119,215,0.054487179
119,289,0.012820513
119,253,0.006410256
119,255,0.006410256
119,290,0.006410256
119,291,0.003205128
119,292,0.003205128
119,293,0.006410256
119,283,0.006410256
119,229,0.003205128
119,278,0.006410256
119,263,0.044871795
119,271,0.009615385
119,264,0.012820513
119,247,0.012820513
119,294,0.003205128
119,216,0.016025641
119,217,0.003205128
119,266,0.006410256
119,248,0.012820513
119,259,0.003205128
119,295,0.006410256
119,296,0.115384615
119,297,0.006410256
119,298,0.003205128
120,219,0.222222222
120,206,0.222222222
120,209,0.055555556
120,229,0.333333333
120,278,0.111111111
120,299,0.055555556
121,300,0.032258065
121,301,0.032258065
121,276,0.032258065
121,288,0.419354839
121,212,0.193548387
121,218,0.032258065
121,259,0.064516129
121,302,0.193548387
122,220,0.4
122,210,0.04
122,257,0.04
122,229,0.36
122,218,0.04
122,273,0.08
122,254,0.04
123,303,0.005494505
123,279,0.005494505
123,219,0.008241758
123,220,0.002747253
123,205,0.016483516
123,203,0.002747253
123,236,0.016483516
123,206,0.002747253
123,207,0.082417582
123,223,0.002747253
123,208,0.002747253
123,269,0.010989011
123,280,0.002747253
123,209,0.043956044
123,210,0.013736264
123,211,0.043956044
123,239,0.016483516
123,227,0.005494505
123,212,0.005494505
123,270,0.010989011
123,213,0.008241758
123,240,0.019230769
123,215,0.326923077
123,289,0.002747253
123,255,0.002747253
123,290,0.002747253
123,293,0.002747253
123,304,0.005494505
123,283,0.002747253
123,229,0.005494505
123,271,0.008241758
123,264,0.008241758
123,305,0.002747253
123,306,0.002747253
123,307,0.002747253
123,308,0.002747253
123,216,0.019230769
123,231,0.010989011
123,309,0.019230769
123,217,0.035714286
123,266,0.005494505
123,232,0.002747253
123,267,0.008241758
123,310,0.005494505
123,296,0.010989011
123,273,0.131868132
123,254,0.002747253
123,311,0.008241758
123,312,0.002747253
123,313,0.027472527
124,219,0.05
124,284,0.033333333
124,235,0.016666667
124,285,0.016666667
124,242,0.016666667
124,314,0.383333333
124,243,0.066666667
124,257,0.016666667
124,231,0.166666667
124,265,0.016666667
124,273,0.016666667
124,254,0.033333333
124,312,0.166666667
125,219,0.192307692
125,202,0.038461538
125,220,0.038461538
125,203,0.076923077
125,242,0.038461538
125,223,0.038461538
125,224,0.038461538
125,209,0.076923077
125,211,0.038461538
125,239,0.076923077
125,226,0.038461538
125,270,0.038461538
125,257,0.038461538
125,215,0.038461538
125,229,0.076923077
125,264,0.038461538
125,248,0.038461538
125,273,0.038461538
126,220,0.192307692
126,269,0.038461538
126,212,0.038461538
126,213,0.076923077
126,214,0.115384615
126,240,0.307692308
126,283,0.038461538
126,271,0.038461538
126,254,0.153846154
127,254,1
128,315,0.025641026
128,300,0.102564103
128,219,0.025641026
128,316,0.025641026
128,274,0.025641026
128,223,0.025641026
128,317,0.051282051
128,243,0.025641026
